ID No,Store,Store Address
0,Rudi's Depot,"Rudi's Depot , 3341 N. El Paso Street, Colorado Springs, CO 80907"
1,Costco #1030,"Costco , 5050 N Nevada Ave, CO"
2,Costco #1014,"Costco , 5885 Barnes Rd, CO"
3,King Soopers #6,"King Soopers , 1750 W Uintah St, CO"
4,King Soopers #12,"King Soopers , 3050 W Northern Ave, Pb, CO"
5,King Soopers #43,"King Soopers , 102 W 29th St, Pueblo, CO"
6,King Soopers #58,"King Soopers , 815 Cheyenne Meadows Rd, Colorado Springs, CO"
7,King Soopers #98,"King Soopers , 6030 Stetson Hills Blvd, CO"
8,King Soopers #130,"King Soopers , 3620 Austin Bluffs Pkwy, CO"
9,King Soopers #133,"King Soopers , 3250 Centennial Blvd, CO"
10,King Soopers #134,"King Soopers , 7915 Constitution Ave, CO"
11,Safeway #812,"Safeway , 2210 N Wahsatcg Ave, CO"
12,Safeway #1286,"Safeway , 3275 W Colorado Ave, CO"
13,Safeway #1466,"Safeway , 1121 N Circle Dr, CO"
14,Safeway #1499,"Safeway , 2890 N Powers, CO"
15,Safeway #1975,"Safeway , 6925 Mesa Ridge Pkwy, CO"
16,Safeway #2816,"Safeway , 1920 S Nevada Ave, Colorado Springs, CO 80905"
17,Sprouts #332,"Sprouts , 5617 Barnes Rd, CO"
18,Sprouts #336,"Sprouts , 1720 S Nevada Ave, CO"
19,Super Wallmart #1434,"Super Wallmart , 707 S 8th St, CO"
20,Super Wallmart #3018,"Super Wallmart , 4425 Venetucci Blvd, CO"
21,Target #1501,"Target , 3810 Bloomington St, CO"
22,Vitamin Cottage #22860007,"Vitamin Cottage , 101 W 29th St, Pueblo, CO"
23,Vitamin Cottage #22860020,"Vitamin Cottage , 1604 S Nevada Ave, CO"
24,King Soopers #147,"King Soopers , 7530 Falcon Market Pl, Falcon, CO"
25,Safeway #N1,"Safeway , 1231 S Prairie Ave, Pueblo, CO 81005"
26,Safeway #N2,"Safeway , 1017 N. Market Pl, CO"
27,Safeway #(Albertsons) ,"Safeway (Albertsons) , 1601 US-50, CO"
28,Walmart Super center #N1,"Walmart Super center, 4080 W Northern Ave, Pueblo, CO 81005"
29,Safeway (Albertsons) #840,"Safeway (Albertsons) #840 , 8750 N Union Blvd, CO"
30,Safeway (Albertsons) #803,"Safeway (Albertsons) #803 , 7055 Austin Bluffs Pkwy, CO"
31,King Soopers #53,"King Soopers #53 , 6930 N. Academy, CO"
32,King Soopers #76,"King Soopers #76 , 3570 Hartsel Dr, CO"
33,King Soopers #77,"King Soopers #77 , 1070 West Baptist Rd, CO"
34,King Soopers #119,"King Soopers #119 , 9225 N. Union Blvd, CO"
35,King Soopers #125,"King Soopers #125 , 5544 Promeade Pkwy, CO"
36,King Soopers #132,"King Soopers #132 , 750 N Ridge Rd, Castle Rock, CO"
37,Safeway #1440,"Safeway #1440 , 624 Highway 105, CO"
38,Safeway #1877,"Safeway #1877 , 880 S. Perry, CO"
39,Safeway #2839,"Safeway #2839 , 840 Village Center Dr, CO"
40,Sprouts #307,"Sprouts #307 , 5650 Allen Way, Castle Rock, CO"
41,Sprouts #313,"Sprouts #313 , 1730 Dublin Blvd, CO"
42,Sprouts #329,"Sprouts #329 , 13415 Voyager Pkwy, CO"
43,Walmart #984,"Walmart #984 , 4400 Front St, Castle Rock, CO"
44,Walmart #1896,"Walmart #1896 , 8250 Razorback Rd, CO"
45,Walmart #3227,"Walmart #3227 , 16218 Jackson Creek Pkwy, CO"
46,Walmart #5123,"Walmart #5123 , 5550 E. Woodmen Rd, CO"
47,Target #2221,"Target #2221 , 9670 Prominet Point, CO"
48,Vitamin Cottage CS,"Vitamin Cottage CS , 7298 N. Academy Blvd, CO"
49,Vitamin Cottage MU,"Vitamin Cottage MU , 1216 West Baptist Rd, CO"
50,Vitamin Cottage CR,"Vitamin Cottage CR , 4510 Trail Boss Dr, CO"
51,Wholefoods CSR,"Wholefoods CSR , 6384 Promenade Pkwy, CO"
52,Wholefoods SPR,"Wholefoods SPR , 7635 N. Academy Blvd, CO"
